epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.4729,1.54243,3.86292,1.65363,0.00241,0.72222,0.0028,0.00199,0.67241,4.18143,1.13462,0.00018,0.00018,0.00018
2,56.8442,1.16481,3.58578,1.38782,0.00315,0.94444,0.26123,0.17178,0.91012,3.89976,0.9773,0.00034238,0.00034238,0.00034238
3,78.8478,1.17836,3.23166,1.3209,0.00315,0.94444,0.40636,0.29584,1.0476,3.80469,0.97519,0.00046516,0.00046516,0.00046516
4,98.8254,1.20324,2.76563,1.32608,0.00315,0.94444,0.52617,0.31775,1.17761,3.78052,1.04398,0.00054834,0.00054834,0.00054834
5,119.643,1.19667,2.57554,1.29778,1,0.44069,0.81098,0.51691,1.1666,3.41943,0.97505,0.00059192,0.00059192,0.00059192
6,139.173,1.18847,2.38937,1.36887,0.82842,0.53752,0.80469,0.54569,1.18833,3.36113,0.9733,0.0005959,0.0005959,0.0005959
7,158.799,1.23772,2.41143,1.32826,0.82291,0.51735,0.79454,0.53339,1.15011,3.3582,0.97354,0.00056028,0.00056028,0.00056028
8,179.32,1.17214,2.23018,1.2372,0.81632,0.4943,0.81288,0.53607,1.08372,3.28265,0.93232,0.00048506,0.00048506,0.00048506
9,200.472,1.09798,2.16784,1.25509,0.72875,0.44807,0.84074,0.57252,1.05022,3.2093,0.92931,0.00037024,0.00037024,0.00037024
10,221.647,1.13435,2.16683,1.27555,0.82349,0.77756,0.84694,0.60024,1.05855,3.0755,0.93774,0.00021582,0.00021582,0.00021582
