epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9514,1.29698,3.33391,1.52616,0.00241,0.72222,0.05046,0.01573,0.90539,4.32586,1.38064,0.00024,0.00024,0.00024
2,68.4829,1.42146,3.068,1.62975,0.00315,0.94444,0.14361,0.08464,0.70891,4.05543,1.02514,0.000401,0.000401,0.000401
3,100.287,1.15163,2.32297,1.40815,0.00315,0.94444,0.49551,0.2587,0.7861,3.83506,0.91582,0.00045904,0.00045904,0.00045904
4,134.873,1.16431,2.32722,1.398,0.00315,0.94444,0.43208,0.25401,0.80968,3.70323,0.93253,0.00041412,0.00041412,0.00041412
5,165.072,1.18745,2.13392,1.35653,0.84757,0.22222,0.44017,0.26755,0.79854,3.61584,0.9175,0.00026624,0.00026624,0.00026624
