epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.185,1.52869,3.87695,1.62715,0.00204,0.61111,0.00188,0.00127,0.80745,4.45445,1.56691,0.00018,0.00018,0.00018
2,80.1822,1.22876,3.46108,1.52083,0.00315,0.94444,0.23062,0.12312,0.79353,3.96574,0.99981,0.00034238,0.00034238,0.00034238
3,116.214,1.31175,3.01445,1.48694,0.00333,1,0.31568,0.19388,0.91774,3.82503,1.00559,0.00046516,0.00046516,0.00046516
4,153.083,1.15836,2.40641,1.35875,0.00315,0.94444,0.34737,0.1799,0.93346,3.87209,1.0327,0.00054834,0.00054834,0.00054834
5,190.522,1.17742,2.26552,1.37663,0.00315,0.94444,0.30449,0.16979,1.11677,3.89063,1.13549,0.00059192,0.00059192,0.00059192
6,229.849,1.05828,2.17336,1.33426,0.00315,0.94444,0.24008,0.14541,1.20965,3.99247,1.23708,0.0005959,0.0005959,0.0005959
7,269.865,1.09546,2.21676,1.29838,0.119,0.44444,0.29664,0.16191,1.26289,4.00405,1.24397,0.00056028,0.00056028,0.00056028
8,305.992,1.11375,2.09653,1.28751,1,0.10212,0.32776,0.17772,1.15215,3.72868,1.1055,0.00048506,0.00048506,0.00048506
9,341.058,1.13567,2.08059,1.32695,1,0.09894,0.39151,0.21342,1.11988,3.67942,1.09945,0.00037024,0.00037024,0.00037024
10,375.302,1.01342,1.92972,1.24991,1,0.15812,0.53939,0.30584,1.13512,3.55031,1.13278,0.00021582,0.00021582,0.00021582
